net,length_um
_0061_,346.265µm
net76,345.84µm
eFPGA_top_i.FrameSelect\[155\],345.81µm
eFPGA_top_i.eFPGA_inst.Tile_X0Y8_B_T_top,345.31µm
eFPGA_top_i.FrameData\[191\],345.21µm
eFPGA_top_i.FrameData\[212\],344.61µm
eFPGA_top_i.FrameData\[291\],344.61µm
eFPGA_top_i.FrameData\[257\],343.83µm
_0356_,343.665µm
eFPGA_top_i.FrameSelect\[5\],343.42µm
eFPGA_top_i.FrameData\[301\],343.33µm
eFPGA_top_i.FrameData\[72\],343.06µm
_0425_,342.89µm
eFPGA_top_i.FrameSelect\[15\],342.66µm
net95,342.5µm
eFPGA_top_i.FrameData\[311\],341.61µm
eFPGA_top_i.FrameData\[455\],340.15µm
eFPGA_top_i.FrameData\[429\],339.86µm
eFPGA_top_i.FrameData\[131\],339.48µm
_0371_,339.255µm
eFPGA_top_i.FrameData\[160\],338.79µm
_0058_,338.02µm
eFPGA_top_i.FrameData\[330\],337.83µm
eFPGA_top_i.eFPGA_inst.Tile_X0Y1_B_T_top,337.61µm
_0120_,337.38µm
eFPGA_top_i.FrameData\[66\],336.81µm
eFPGA_top_i.FrameData\[428\],336.28µm
_0018_,335.725µm
eFPGA_top_i.FrameData\[380\],335.45µm
eFPGA_top_i.FrameSelect\[165\],335.03µm
eFPGA_top_i.FrameData\[81\],334.73µm
eFPGA_top_i.FrameSelect\[9\],333.8µm
_0019_,333.785µm
_0045_,333.485µm
_0117_,333.385µm
eFPGA_top_i.FrameSelect\[57\],333.21µm
eFPGA_top_i.FrameData\[465\],332.89µm
net229,332.74µm
eFPGA_top_i.FrameData\[123\],332.58µm
net133,332.5µm
_0429_,332.36µm
eFPGA_top_i.FrameData\[68\],332.25µm
eFPGA_top_i.eFPGA_inst.Tile_X0Y11_B_T_top,331.93µm
eFPGA_top_i.eFPGA_inst.Tile_X0Y12_B_T_top,331.33µm
eFPGA_top_i.FrameSelect\[29\],330.14µm
eFPGA_top_i.FrameData\[308\],330.09µm
_0270_,329.745µm
eFPGA_top_i.FrameData\[193\],329.63µm
net138,329.56µm
_0319_,329.265µm
eFPGA_top_i.FrameData\[165\],328.73µm
_0093_,328.725µm
net68,328.4µm
net143,325.96µm
_0218_,325.405µm
eFPGA_top_i.FrameData\[353\],325.27µm
_0396_,324.965µm
_0279_,324.95µm
_0381_,324.9µm
net169,323.53µm
eFPGA_top_i.FrameData\[135\],323.17µm
